322	322	322
557	557	557
805	805	805
1033	1033	1033
1230	1230	1230
1412	1412	1412
1579	1579	1579
1729	1729	1729
1883	1883	1883
2065	2065	2065
2229	2229	2229
2392	2392	2392
2567	2567	2567
2759	2759	2759
2954	2954	2954
3141	3141	3141
3324	3324	3324
3489	3489	3489
3670	3670	3670
3851	3851	3851
4058	4058	4058
4226	4226	4226
4383	4383	4383
4527	4527	4527
4674	4674	4674
4810	4810	4810
4964	4964	4964
5165	5165	5165
5357	5357	5357
5517	5517	5517
5650	5650	5650
5753	5753	5753
5791	5791	5791
5777	5777	5777
5754	5754	5754
5693	5693	5693
5649	5649	5649
5590	5590	5590
5484	5484	5484
5308	5308	5308
5075	5075	5075
4827	4827	4827
4552	4552	4552
4268	4268	4268
3956	3956	3956
3675	3675	3675
3420	3420	3420
3129	3129	3129
2842	2842	2842
2554	2554	2554
2265	2265	2265
1970	1970	1970
1685	1685	1685
1391	1391	1391
1079	1079	1079
734	734	734
439	439	439
121	121	121
-276	-276	-276
-693	-693	-693
-1062	-1062	-1062
-1424	-1424	-1424
-1794	-1794	-1794
-2085	-2085	-2085
-2317	-2317	-2317
-2538	-2538	-2538
-2694	-2694	-2694
-2772	-2772	-2772
-2780	-2780	-2780
-2735	-2735	-2735
-2706	-2706	-2706
-2705	-2705	-2705
-2723	-2723	-2723
-2770	-2770	-2770
-2761	-2761	-2761
-2755	-2755	-2755
-2770	-2770	-2770
-2817	-2817	-2817
-2848	-2848	-2848
-2908	-2908	-2908
-3000	-3000	-3000
-3111	-3111	-3111
-3217	-3217	-3217
-3302	-3302	-3302
-3375	-3375	-3375
-3428	-3428	-3428
-3462	-3462	-3462
-3486	-3486	-3486
-3525	-3525	-3525
-3564	-3564	-3564
-3591	-3591	-3591
-3618	-3618	-3618
-3641	-3641	-3641
-3627	-3627	-3627
-3613	-3613	-3613
-3622	-3622	-3622
-3635	-3635	-3635
-3682	-3682	-3682
-3721	-3721	-3721
-3717	-3717	-3717
-3718	-3718	-3718
-3731	-3731	-3731
-3728	-3728	-3728
-3689	-3689	-3689
-3666	-3666	-3666
-3680	-3680	-3680
-3719	-3719	-3719
-3785	-3785	-3785
-3883	-3883	-3883
-3940	-3940	-3940
-3912	-3912	-3912
-3814	-3814	-3814
-3695	-3695	-3695
-3573	-3573	-3573
-3485	-3485	-3485
-3399	-3399	-3399
-3204	-3204	-3204
-2915	-2915	-2915
-2652	-2652	-2652
-2485	-2485	-2485
-2336	-2336	-2336
-2144	-2144	-2144
-1929	-1929	-1929
-1679	-1679	-1679
-1428	-1428	-1428
-1157	-1157	-1157
-852	-852	-852
-526	-526	-526
-182	-182	-182
158	158	158
