94.6181	199.22
101.788	168.319
100.783	167.798
100.635	178.381
95.4964	170.206
97.6443	183.786
101.308	184.286
103.784	169.438
106.847	171.488
93.573	190.272
98.5235	179.195
95.3303	184.616
96.7868	180.742
100.743	178.933
107.231	175.684
97.4538	180.216
95.1047	181.954
97.9608	170.159
98.8662	158.764
98.2338	173.866
99.8517	174.51
102.67	173.069
104.245	167.199
100.036	181.915
100.799	175.309
100.156	175.412
104.046	162.697
109.773	169.997
101.155	173.44
100.505	169.695
99.1545	163.926
100.138	174.744
97.3	170.146
97.3003	176.822
106.393	162.95
101.088	172.646
103.237	177.602
102.387	180.989
96.7217	186.175
100.456	180.127
96.0314	191.213
104.062	169.437
104.47	164.637
106.476	169.788
