227.027
62.7523		237.798
65.4545		250.909
78.5		252
67		255
77		255.5
27.5		226.5
45		224
45		224
50.5		233
45		219
51		219.5
46		217
52.5		217
49		212.5
47.5		200.5
48.5		195.5
46		212.5
50.5		214
44		219
38		217
34.5		231.5
40		222.5
46		216
45.5		202
41.5		216.5
32.5		223.5
41		242
32.5		239
27.5		251
350		246.5
346.5		234
321		212
300.5		186
273		178.5
275		197
278.5		199.5
294.5		200.5
298		203.5
294		199
274		183.5
