-451	-414	322
-480	-399	557
-476	-299	805
-406	-183	1033
-358	-135	1230
-345	-135	1412
-318	-192	1579
-224	-194	1729
-136	-286	1883
-117	-470	2065
-19	-586	2229
165	-699	2392
317	-768	2567
366	-799	2759
434	-894	2954
499	-988	3141
543	-1071	3324
535	-1068	3489
649	-1072	3670
727	-1197	3851
579	-1543	4058
464	-1841	4226
591	-1838	4383
720	-1650	4527
651	-1541	4674
682	-1437	4810
893	-1321	4964
906	-1279	5165
872	-1219	5357
896	-1217	5517
1020	-1228	5650
1059	-1164	5753
817	-1074	5791
878	-773	5777
1049	-708	5754
999	-991	5693
880	-1197	5649
798	-1280	5590
655	-1429	5484
617	-1401	5308
567	-1077	5075
550	-657	4827
743	-169	4552
1047	313	4268
1338	587	3956
1358	695	3675
1293	922	3420
1246	1189	3129
1154	1262	2842
948	1133	2554
810	935	2265
875	704	1970
816	217	1685
638	-333	1391
805	-561	1079
1048	-909	734
770	-1446	439
604	-1445	121
673	-1041	-276
311	-861	-693
-271	-654	-1062
-462	-228	-1424
-496	40	-1794
-590	138	-2085
-546	223	-2317
-330	394	-2538
-222	598	-2694
-250	858	-2772
-215	1051	-2780
33	1205	-2735
313	1259	-2706
459	1321	-2705
466	1455	-2723
363	1696	-2770
261	1820	-2761
205	1886	-2755
262	1933	-2770
202	1912	-2817
75	1802	-2848
26	1794	-2908
34	1855	-3000
74	1874	-3111
216	1789	-3217
292	1605	-3302
278	1415	-3375
274	1218	-3428
194	980	-3462
118	728	-3486
181	514	-3525
210	293	-3564
130	52	-3591
263	-72	-3618
297	-130	-3641
124	-281	-3627
126	-203	-3613
96	-32	-3622
-17	4	-3635
24	60	-3682
87	125	-3721
21	40	-3717
-64	31	-3718
-91	150	-3731
-194	169	-3728
-353	96	-3689
-384	184	-3666
-455	236	-3680
-693	-52	-3719
-789	-161	-3785
-664	91	-3883
-658	117	-3940
-722	162	-3912
-425	527	-3814
-275	867	-3695
-380	1003	-3573
